Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-naca001264-il-200000-n5
Airfoil,naca001264-il
Reynolds number,200000
Ncrit,5
Mach,0
Max Cl/Cd,40.2839
Max Cl/Cd alpha,6.75
Url,http://www.airfoiltools.com/polar/csv?polar=xf-naca001264-il-200000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-15.250,-0.8927,0.09374,0.08947,-0.0304,1.0000,0.0264
-15.000,-0.9339,0.08114,0.07665,-0.0390,1.0000,0.0261
-14.750,-0.9666,0.07189,0.06716,-0.0449,1.0000,0.0261
-14.500,-0.9943,0.06468,0.05969,-0.0487,1.0000,0.0261
-14.250,-1.0182,0.05890,0.05362,-0.0506,1.0000,0.0263
-14.000,-1.0379,0.05427,0.04871,-0.0511,1.0000,0.0265
-13.750,-1.0446,0.05123,0.04555,-0.0506,1.0000,0.0268
-13.500,-1.0470,0.04887,0.04311,-0.0498,1.0000,0.0272
-13.250,-1.0483,0.04679,0.04092,-0.0486,1.0000,0.0275
-13.000,-1.0494,0.04483,0.03884,-0.0471,1.0000,0.0279
-12.750,-1.0498,0.04302,0.03690,-0.0453,1.0000,0.0284
-12.500,-1.0500,0.04132,0.03503,-0.0431,1.0000,0.0290
-12.250,-1.0498,0.03966,0.03318,-0.0406,1.0000,0.0296
-12.000,-1.0490,0.03807,0.03138,-0.0377,1.0000,0.0304
-11.750,-1.0474,0.03654,0.02962,-0.0346,1.0000,0.0311
-11.500,-1.0445,0.03513,0.02794,-0.0314,1.0000,0.0318
-11.250,-1.0381,0.03383,0.02639,-0.0286,1.0000,0.0323
-11.000,-1.0271,0.03233,0.02483,-0.0267,1.0000,0.0331
-10.750,-1.0153,0.03138,0.02385,-0.0246,1.0000,0.0339
-10.500,-1.0034,0.03052,0.02292,-0.0224,1.0000,0.0347
-10.250,-0.9912,0.02962,0.02191,-0.0201,1.0000,0.0355
-10.000,-0.9783,0.02867,0.02082,-0.0179,1.0000,0.0364
-9.750,-0.9646,0.02774,0.01975,-0.0157,1.0000,0.0372
-9.500,-0.9506,0.02689,0.01876,-0.0135,1.0000,0.0382
-9.250,-0.9361,0.02613,0.01784,-0.0114,1.0000,0.0390
-9.000,-0.9214,0.02510,0.01676,-0.0093,1.0000,0.0398
-8.750,-0.9072,0.02425,0.01587,-0.0072,1.0000,0.0406
-8.500,-0.8931,0.02354,0.01513,-0.0049,1.0000,0.0414
-8.250,-0.8788,0.02293,0.01448,-0.0027,1.0000,0.0424
-8.000,-0.8642,0.02235,0.01385,-0.0004,1.0000,0.0435
-7.750,-0.8495,0.02178,0.01322,0.0018,1.0000,0.0447
-7.500,-0.8346,0.02121,0.01257,0.0040,1.0000,0.0458
-7.250,-0.8196,0.02066,0.01195,0.0063,1.0000,0.0467
-7.000,-0.8048,0.02010,0.01134,0.0085,1.0000,0.0476
-6.750,-0.7802,0.01937,0.01062,0.0086,0.9980,0.0492
-6.500,-0.7505,0.01881,0.01003,0.0077,0.9954,0.0513
-6.250,-0.7204,0.01832,0.00950,0.0068,0.9927,0.0541
-5.750,-0.6617,0.01728,0.00844,0.0053,0.9863,0.0609
-5.500,-0.6300,0.01685,0.00798,0.0041,0.9839,0.0663
-5.250,-0.6027,0.01638,0.00754,0.0038,0.9798,0.0732
-5.000,-0.5729,0.01597,0.00714,0.0030,0.9762,0.0832
-4.750,-0.5415,0.01553,0.00677,0.0019,0.9734,0.0978
